freq[Hz];re:Trc1_S11;im:Trc1_S11;re:Trc2_S41;im:Trc2_S41;re:Trc3_S13;im:Trc3_S13;re:Trc4_S14;im:Trc4_S14;re:Trc5_S21;im:Trc5_S21;re:Trc6_S22;im:Trc6_S22;re:Trc7_S23;im:Trc7_S23;re:Trc8_S24;im:Trc8_S24;re:Trc9_S31;im:Trc9_S31;re:Trc10_S32;im:Trc10_S32;re:Trc11_S33;im:Trc11_S33;re:Trc12_S34;im:Trc12_S34;re:Trc13_S41;im:Trc13_S41;re:Trc14_S42;im:Trc14_S42;re:Trc15_S43;im:Trc15_S43;re:Trc16_S22;im:Trc16_S22;re:Trc17_S22;im:Trc17_S22;
3.000000000000000E+005;-1.000672074237862E+000;1.648286231404285E-002;6.342430973144799E-007;2.973420383656745E-006;-1.531080507528834E-007;-4.380291108937328E-007;1.105240086199741E-006;-1.349284098960787E-007;-1.891830973075529E-004;4.990589032394753E-005;4.670222832938020E-001;-2.630950118747619E-002;-1.897272997675410E-005;2.056845022063294E-004;-1.640857786124440E-004;1.007209489127173E-004;2.307953893176671E-006;1.899770084474924E-006;-4.896150684617064E-006;2.824075707344508E-006;9.985187905090239E-001;-2.924470534042681E-003;-1.557048928750574E-006;5.764307933479065E-006;6.342430973144799E-007;2.973420383656745E-006;3.082701314366382E-006;4.758393144582430E-006;-6.947908025630186E-007;1.162559718918590E-006;4.670222832938020E-001;-2.630950118747619E-002;4.670222832938020E-001;-2.630950118747619E-002;
1.633146292585170E+007;-9.814208831399555E-001;1.477906471284174E-001;-1.303046651889338E-006;2.739373836356891E-006;2.041525088448272E-006;-5.958627103003889E-007;-1.917786906445608E-006;-2.988129316956816E-006;-1.330071242256789E-006;-3.495666506233182E-006;4.546976502188658E-001;-7.418469242757365E-002;-5.099726750189458E-007;-4.352447326274711E-006;-2.124683123247817E-007;-5.258547041599667E-007;-1.619180301973137E-007;3.192464358352201E-007;5.898311102119085E-007;-2.930067909456841E-006;9.991527555129119E-001;-4.562151354057289E-003;2.445015278040184E-006;-8.541395440160801E-007;-1.303046651889338E-006;2.739373836356891E-006;2.121452099412562E-006;4.187972056594989E-006;4.174527648621332E-007;5.303325480076433E-006;4.546976502188658E-001;-7.418469242757365E-002;4.546976502188658E-001;-7.418469242757365E-002;
3.236292585170341E+007;-9.484421009137884E-001;2.855820141746427E-001;-1.163522182878401E-005;4.125546195808129E-006;-7.914812024405442E-006;6.092477644895904E-006;-5.381115799008750E-006;-2.650985741043245E-006;4.517318293219077E-006;1.278535801415603E-006;4.359350710589499E-001;-1.389202975071676E-001;2.081498351156270E-006;4.381616978848713E-006;6.532563782538848E-006;-6.112380932185419E-006;-6.211509931711868E-006;9.685066398274492E-006;-7.929672174363673E-006;4.238697112770598E-007;9.995315704977136E-001;-8.317446833300853E-003;-2.557635958844016E-007;-5.449985732935872E-006;-1.163522182878401E-005;4.125546195808129E-006;-5.289889123500497E-006;-8.552581875942958E-007;5.501588839665405E-006;-3.587569239680700E-006;4.359350710589499E-001;-1.389202975071676E-001;4.359350710589499E-001;-1.389202975071676E-001;
4.839438877755511E+007;-9.003851809763002E-001;4.079183923591127E-001;-6.876459617192579E-006;-5.650438151044605E-006;3.644592484846401E-006;2.529547969590852E-006;2.908954045385437E-006;-8.188942415025236E-006;-5.589746036031485E-006;-1.962388017728599E-006;4.093829575838344E-001;-2.010933365683510E-001;1.232571353878064E-006;-3.616095618478487E-006;7.439293270812508E-007;-3.303416463271439E-006;1.052410738314465E-007;3.442422313014730E-006;-6.590317606121276E-006;-1.180162262989037E-006;9.971762654740779E-001;-1.715052784182843E-002;-7.848653049829655E-007;-6.052688627101172E-006;-6.876459617192579E-006;-5.650438151044605E-006;5.858365235373918E-006;4.701842278810142E-006;-4.010851991966872E-006;3.008843132663734E-006;4.093829575838344E-001;-2.010933365683510E-001;4.093829575838344E-001;-2.010933365683510E-001;
6.442585170340681E+007;-8.359261689116200E-001;5.226632758334171E-001;-3.731397392028193E-005;1.500328378061911E-005;-5.118469857307568E-006;-4.741357348237709E-006;-3.231574392854141E-005;1.596516982600808E-005;2.957514161823774E-006;-8.351708165113899E-007;3.732686164014267E-001;-2.583970930265611E-001;-2.900800624644105E-006;-3.495366334802184E-006;2.005777511000732E-006;2.653107716510050E-006;1.834802059425666E-006;1.463920580482153E-006;5.366914354894333E-007;1.021979926239436E-005;9.977764128870929E-001;-2.365175933233246E-002;1.618712466575171E-006;7.828797014110068E-007;-3.731397392028193E-005;1.500328378061911E-005;-1.280771160829468E-006;-7.705281408012168E-007;4.625124886602210E-006;-3.610650731538336E-006;3.732686164014267E-001;-2.583970930265611E-001;3.732686164014267E-001;-2.583970930265611E-001;
8.045731462925851E+007;-7.546529544839915E-001;6.285656587956890E-001;4.312767563858858E-005;7.664193037976199E-005;3.058046672580400E-006;5.142576853225259E-006;4.039568903465168E-005;7.694653359157113E-005;-7.483608970261184E-006;1.137678395826812E-006;3.290727080695199E-001;-3.082163612841630E-001;1.749107236408416E-007;-1.070746770722018E-007;6.143634389403024E-007;-4.623909619024509E-006;1.464895573231558E-005;5.885317800687076E-006;-2.136476735032300E-006;4.634900090342123E-006;9.964667152656699E-001;-2.530114081609959E-002;1.865946528173934E-006;3.535029827731078E-006;4.312767563858858E-005;7.664193037976199E-005;-2.661002364138628E-006;6.867136310017502E-006;-9.979980347434911E-007;9.566372285820612E-007;3.290727080695199E-001;-3.082163612841630E-001;3.290727080695199E-001;-3.082163612841630E-001;
9.648877755511022E+007;-6.487143336889899E-001;7.353566872208708E-001;1.364054726196327E-004;-6.739185640609561E-005;6.758243356184771E-006;-2.377316983829350E-006;1.273921346049677E-004;-7.099197117811026E-005;-1.788429389659631E-006;7.877973620841333E-006;2.778203612180896E-001;-3.510651392595112E-001;-5.509482217538164E-006;3.931300646369768E-006;-1.086526204085624E-006;-1.141541259432812E-005;2.362959203317377E-007;-1.135226067851562E-006;-1.573380808160149E-006;-2.672657707035424E-006;9.937185254081372E-001;-2.738742000474457E-002;4.160492448225265E-006;5.804832407688067E-007;1.364054726196327E-004;-6.739185640609561E-005;-8.832749782660292E-006;-8.888969282894802E-006;-6.438587484124210E-008;2.215101104489322E-006;2.778203612180896E-001;-3.510651392595112E-001;2.778203612180896E-001;-3.510651392595112E-001;
1.125202404809619E+008;-5.505577942062446E-001;8.106822348368281E-001;-3.710174354765819E-005;-7.437883794032761E-005;-5.401203030545339E-007;-1.049133833514935E-005;-3.747558187606716E-005;-7.911944627012585E-005;5.767435876665677E-006;4.151387551659328E-006;2.209582149871069E-001;-3.860411886333879E-001;-1.053268549592224E-006;-5.482266984712587E-006;-1.241553960369883E-006;4.273622040027512E-006;8.964096033482738E-006;6.629687713140201E-006;-2.288320683678874E-006;-1.230266357706463E-005;9.909432055483525E-001;-2.802322294651861E-002;3.840810837800385E-006;-2.898262237294075E-006;-3.710174354765819E-005;-7.437883794032761E-005;-1.443582895533211E-005;-6.086106119809875E-006;-1.082733147847352E-005;-2.237184994630851E-006;2.209582149871069E-001;-3.860411886333879E-001;2.209582149871069E-001;-3.860411886333879E-001;
1.285517034068136E+008;-4.214764543140148E-001;8.849541976263438E-001;-3.482884872898819E-005;-5.923888965227313E-005;3.432055091264547E-006;2.048669814205648E-006;-3.173601574317183E-005;-6.455555201179491E-005;-2.093396723967945E-006;-5.077795813072131E-007;1.602556419805010E-001;-4.123247544378880E-001;-6.425711077888928E-006;-1.415660936146702E-006;4.383536494774688E-007;9.924289058794052E-007;-6.147830658915685E-007;-4.669191344115955E-006;-1.107834501146300E-006;-2.854010914308417E-006;9.914200787515831E-001;-2.673521235368790E-002;2.325590233708404E-006;-2.228842753563089E-006;-3.482884872898819E-005;-5.923888965227313E-005;-1.102705516292327E-005;-5.223448498130343E-006;6.928833018955726E-007;4.338932548756646E-006;1.602556419805010E-001;-4.123247544378880E-001;1.602556419805010E-001;-4.123247544378880E-001;
1.445831663326653E+008;-2.994984820920540E-001;9.312435641104303E-001;-1.897273650046814E-005;-1.872770122502536E-004;6.127273268663631E-006;6.294143798329760E-006;-1.804098944605468E-005;-1.787528002440830E-004;3.272421883759393E-006;3.334456447848687E-006;9.749044128289210E-002;-4.295111694599179E-001;-3.808346040101399E-006;-8.044571506623523E-007;-4.654548258222541E-006;-1.077613493013809E-006;-5.697509399190190E-006;-2.652845136367211E-006;-1.049723710040228E-007;-1.759925556703083E-006;9.928731223100625E-001;-2.327325521481052E-002;6.610838830937053E-006;5.622870330179844E-006;-1.897273650046814E-005;-1.872770122502536E-004;-5.765597646898386E-007;3.590395683240674E-006;-1.798937316283856E-006;-4.360412653453822E-006;9.749044128289210E-002;-4.295111694599179E-001;9.749044128289210E-002;-4.295111694599179E-001;
