freq[Hz];re:Trc3_S11;im:Trc3_S11;
3.000000000000000E+005;-9.179492197239781E-001;1.036640298344023E-002;
8.315430861723447E+006;-9.348726710921165E-001;7.261516723621805E-002;
1.633086172344689E+007;-9.236823809406192E-001;1.511333230358936E-001;
2.434629258517034E+007;-9.108330766867749E-001;2.296590208634748E-001;
3.236172344689379E+007;-8.871835350243110E-001;3.115754352089108E-001;
4.037715430861723E+007;-8.601995246198967E-001;3.839549088609378E-001;
4.839258517034069E+007;-8.275266149674927E-001;4.600494090901297E-001;
5.640801603206413E+007;-7.814106120807852E-001;5.299032064099478E-001;
6.442344689378758E+007;-7.340571482833964E-001;6.017449711931118E-001;
7.243887775551103E+007;-6.792178183189505E-001;6.692060251061545E-001;
8.045430861723447E+007;-6.167458943868489E-001;7.239302645579694E-001;
8.846973947895792E+007;-5.570665316145715E-001;7.757911416690825E-001;
9.648517034068137E+007;-4.869277711172786E-001;8.221978805645145E-001;
1.045006012024048E+008;-4.113443567015453E-001;8.565277769632053E-001;
1.125160320641283E+008;-3.403953645643947E-001;8.879317228268703E-001;
1.205314629258517E+008;-2.654092465073224E-001;9.169013531105005E-001;
1.285468937875752E+008;-1.918391372079686E-001;9.352945229606618E-001;
1.365623246492986E+008;-1.130061515174678E-001;9.438871969844265E-001;
1.445777555110221E+008;-2.245395377840683E-002;9.536782712524140E-001;
1.525931863727455E+008;6.673189551167359E-002;9.532419639473158E-001;
1.606086172344689E+008;1.536919956611051E-001;9.431806993902665E-001;
1.686240480961924E+008;2.375400207349596E-001;9.275969962832723E-001;
1.766394789579158E+008;3.201601180771989E-001;9.054963328039699E-001;
1.846549098196393E+008;3.832093711272495E-001;8.789524261171132E-001;
1.926703406813628E+008;4.522483570097641E-001;8.421875473947007E-001;
2.006857715430862E+008;5.349596408774802E-001;7.915809901413677E-001;
2.087012024048096E+008;6.079253906988889E-001;7.313102263557475E-001;
2.167166332665331E+008;6.747713163725041E-001;6.756778918079666E-001;
2.247320641282565E+008;7.220724880107136E-001;6.230833059146018E-001;
2.327474949899800E+008;7.679048357730637E-001;5.648598152635962E-001;
2.407629258517034E+008;8.165729146745094E-001;4.960055478447051E-001;
2.487783567134269E+008;8.524541113780855E-001;4.211529193245084E-001;
2.567937875751503E+008;8.858959373474244E-001;3.371981596622393E-001;
2.648092184368738E+008;9.115423421194832E-001;2.553738122052680E-001;
2.728246492985972E+008;9.283015156745671E-001;1.807947748344963E-001;
2.808400801603206E+008;9.372705386632668E-001;1.190191201042024E-001;
2.888555110220441E+008;9.382381534180682E-001;4.774650727406965E-002;
2.968709418837676E+008;9.316405647789039E-001;-3.425616176969144E-002;
3.048863727454910E+008;9.178749421058725E-001;-1.233881865329801E-001;
3.129018036072145E+008;9.002934604812770E-001;-2.098411416240862E-001;
3.209172344689379E+008;8.780892212452157E-001;-2.822438159892569E-001;
3.289326653306614E+008;8.505395657508832E-001;-3.471356183939929E-001;
3.369480961923848E+008;8.175219084288696E-001;-4.048373368239990E-001;
3.449635270541082E+008;7.836922074366685E-001;-4.646713727515607E-001;
3.529789579158317E+008;7.351859020302808E-001;-5.264538862576189E-001;
3.609943887775551E+008;6.831661505954156E-001;-5.874619385502866E-001;
3.690098196392786E+008;6.302286177896502E-001;-6.380470694800725E-001;
3.770252505010020E+008;5.789343882140680E-001;-6.826099956538044E-001;
3.850406813627255E+008;5.277012342086993E-001;-7.193217280532653E-001;
3.930561122244489E+008;4.668672864628859E-001;-7.540261842461690E-001;
4.010715430861723E+008;4.095185192988886E-001;-7.823858417606057E-001;
4.090869739478958E+008;3.504659106984475E-001;-8.077058359928951E-001;
4.171024048096193E+008;2.805447544167780E-001;-8.277420247206158E-001;
4.251178356713427E+008;2.011898012175211E-001;-8.429588236192017E-001;
4.331332665330662E+008;1.250079459470680E-001;-8.569520555295992E-001;
4.411486973947896E+008;5.153350562007131E-002;-8.620503108272591E-001;
4.491641282565131E+008;-1.606423446136185E-002;-8.627706541602774E-001;
4.571795591182365E+008;-8.123938590838115E-002;-8.541811999482105E-001;
4.651949899799600E+008;-1.398890154644757E-001;-8.450418169003007E-001;
4.732104208416834E+008;-2.049340088427186E-001;-8.291341571953379E-001;
4.812258517034068E+008;-2.734004323433636E-001;-8.042619721045060E-001;
4.892412825651303E+008;-3.368107449640468E-001;-7.775647192155304E-001;
4.972567134268537E+008;-3.924773164413695E-001;-7.544609445908235E-001;
5.052721442885772E+008;-4.417012036617718E-001;-7.227250259418414E-001;
5.132875751503006E+008;-4.925610110892020E-001;-6.813148921836454E-001;
5.213030060120240E+008;-5.466671008977804E-001;-6.309907905291586E-001;
5.293184368737475E+008;-6.003445837265267E-001;-5.794686455495215E-001;
5.373338677354710E+008;-6.485970331474595E-001;-5.212881205392065E-001;
5.453492985971944E+008;-6.870969516883232E-001;-4.560536043415643E-001;
5.533647294589179E+008;-7.261254287512633E-001;-3.986411784831874E-001;
5.613801603206413E+008;-7.535905841340620E-001;-3.423642188400770E-001;
5.693955911823647E+008;-7.732044389248097E-001;-2.836076997173471E-001;
5.774110220440882E+008;-7.834277104864368E-001;-2.226125499855601E-001;
5.854264529058117E+008;-7.949233219693203E-001;-1.558762404500891E-001;
5.934418837675351E+008;-8.046975706235549E-001;-8.683495397957478E-002;
6.014573146292585E+008;-8.017189543676844E-001;-1.436679585965740E-002;
6.094727454909819E+008;-7.946789147520196E-001;6.210879756322563E-002;
6.174881763527055E+008;-7.810423995785428E-001;1.347818172602283E-001;
6.255036072144289E+008;-7.624285897635377E-001;2.068394200884716E-001;
6.335190380761523E+008;-7.372444365897056E-001;2.783698755405717E-001;
6.415344689378758E+008;-7.037951218459112E-001;3.503041581548025E-001;
6.495498997995992E+008;-6.649028637687325E-001;4.115815300383089E-001;
6.575653306613227E+008;-6.247080454202851E-001;4.678251338602182E-001;
6.655807615230461E+008;-5.752878013409200E-001;5.200788314220249E-001;
6.735961923847696E+008;-5.217868269257890E-001;5.675191822452277E-001;
6.816116232464930E+008;-4.668915649522438E-001;6.067473755995858E-001;
6.896270541082164E+008;-4.024558806684628E-001;6.440481762433059E-001;
6.976424849699400E+008;-3.320096395754689E-001;6.748985223769174E-001;
7.056579158316634E+008;-2.598482321676535E-001;7.036488860726752E-001;
7.136733466933868E+008;-1.816949607982984E-001;7.191938936729341E-001;
7.216887775551102E+008;-1.001914755945004E-001;7.310186313778700E-001;
7.297042084168336E+008;-1.648143150715029E-002;7.305826569953910E-001;
7.377196392785572E+008;5.918088603351283E-002;7.260399908059148E-001;
7.457350701402806E+008;1.314291450579231E-001;7.108893013881322E-001;
7.537505010020040E+008;2.036564703871913E-001;6.881701541734732E-001;
7.617659318637275E+008;2.837773554817150E-001;6.487038124849470E-001;
7.697813627254510E+008;3.535034077847523E-001;6.105711877477835E-001;
7.777967935871744E+008;4.160182687338343E-001;5.648625145988523E-001;
7.858122244488978E+008;4.708716520026044E-001;5.073325920339979E-001;
7.938276553106213E+008;5.251419944693704E-001;4.419452391724326E-001;
8.018430861723447E+008;5.693194600795969E-001;3.723339736659742E-001;
8.098585170340682E+008;6.032655269714115E-001;2.991304068410871E-001;
8.178739478957917E+008;6.291311268294498E-001;2.171577020671717E-001;
8.258893787575151E+008;6.483802417773512E-001;1.356579238455793E-001;
8.339048096192385E+008;6.536397048881080E-001;5.566315252423040E-002;
